,0,1,2
0,zuWktVTnYICcsVFr,Corn Grain,75.38052368164062
1,zuWktVTnYICcsVFr,Corn Grain,75.44285583496094
2,zuWktVTnYICcsVFr,Corn Grain,129.09841918945312
3,zuWktVTnYICcsVFr,Corn Grain,139.29519653320312
4,zuWktVTnYICcsVFr,Corn Grain,128.88755798339844
5,zuWktVTnYICcsVFr,Corn Grain,133.14491271972656
6,zuWktVTnYICcsVFr,Corn Grain,144.22946166992188
7,zuWktVTnYICcsVFr,Corn Grain,164.32981872558594
8,zuWktVTnYICcsVFr,Corn Grain,129.84420776367188
9,zuWktVTnYICcsVFr,Corn Grain,151.6083526611328
10,zuWktVTnYICcsVFr,Corn Grain,140.4799346923828
11,zuWktVTnYICcsVFr,Corn Grain,149.076416015625
12,zuWktVTnYICcsVFr,Corn Grain,149.43331909179688
13,zuWktVTnYICcsVFr,Corn Grain,154.5028839111328
14,zuWktVTnYICcsVFr,Corn Grain,150.9959716796875
15,zuWktVTnYICcsVFr,Corn Grain,107.01734924316406
16,zuWktVTnYICcsVFr,Corn Grain,137.289306640625
17,zuWktVTnYICcsVFr,Corn Grain,81.39659881591797
18,zuWktVTnYICcsVFr,Corn Grain,69.02253723144531
19,zuWktVTnYICcsVFr,Corn Grain,58.75933837890625
20,zuWktVTnYICcsVFr,Corn Grain,98.06024932861328
21,zuWktVTnYICcsVFr,Corn Grain,112.82048034667969
22,zuWktVTnYICcsVFr,Corn Grain,89.55804443359375
23,zuWktVTnYICcsVFr,Corn Grain,73.66434478759766
24,zuWktVTnYICcsVFr,Corn Grain,82.35321044921875
25,zuWktVTnYICcsVFr,Corn Grain,99.81375885009766
26,zuWktVTnYICcsVFr,Corn Grain,100.72946166992188
27,zuWktVTnYICcsVFr,Corn Grain,90.57649993896484
28,zuWktVTnYICcsVFr,Corn Grain,88.26078796386719
29,zuWktVTnYICcsVFr,Corn Grain,106.7789077758789
30,zuWktVTnYICcsVFr,Corn Grain,105.91160583496094
31,zuWktVTnYICcsVFr,Corn Grain,117.54984283447266
32,zuWktVTnYICcsVFr,Corn Grain,84.27842712402344
33,zuWktVTnYICcsVFr,Corn Grain,96.68414306640625
34,zuWktVTnYICcsVFr,Corn Grain,120.92658996582031
35,zuWktVTnYICcsVFr,Corn Grain,119.65911865234375
36,zuWktVTnYICcsVFr,Corn Grain,91.62757110595703
37,zuWktVTnYICcsVFr,Corn Grain,109.04969787597656
38,zuWktVTnYICcsVFr,Corn Grain,122.76332092285156
39,zuWktVTnYICcsVFr,Corn Grain,123.69703674316406
40,zuWktVTnYICcsVFr,Corn Grain,118.9070053100586
